סמל היישוב,שם יישוב,מחוז,נפה,צורת יישוב,מעמד מוניציפלי,אזור טבעי,אוכלוסייה - סך הכל,מזה: יהודים ואחרים,מזה: יהודים,מזה: ערבים,אשכול רשויות מקומיות
1020,אור עקיבא,חיפה,חדרה,יישובים יהודיים 19999-10000 תושבים,עירייה,אזור חדרה,"17,759","17,664","16,368",96,
780,אורה,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,הרי יהודה,"1,388","1,381","1,334",7,
1771,אורון,הדרום,באר שבע,מוקד תעסוקה,רמת נגב,הר הנגב הצפוני,-,-,-,-,
2012,אורות,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,515,516,511,-,
4013,אורטל,הצפון,גולן,קיבוצים,גולן,גולן צפוני,352,352,352,-,
403,אורים,הדרום,באר שבע,קיבוצים,אשכול,אזור בשור,475,474,437,1,
882,אורנים,חיפה,חיפה,יישובים מוסדיים יהודיים,זבולון,אזור חיפה,182,119,116,63,
3760,אורנית,יהודה והשומרון,,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,,"8,655","8,648","8,534",8,
278,אושה,חיפה,חיפה,קיבוצים,זבולון,אזור חיפה,483,482,472,-,
565,אזור,תל אביב,,יישובים יהודיים 19999-10000 תושבים,מועצה מקומית,אזור חולון,"12,701","12,680","11,960",21,
1724,אזור תעסוקה משגב(תרדיון),הצפון,עכו,מוקד תעסוקה,משגב,אזור שפרעם,-,-,-,-,
1726,אזור תעשייה אכזיב (מילואות),הצפון,עכו,מוקד תעסוקה,מטה אשר,אזור נהרייה,-,-,-,-,
1727,אזור תעשייה נעמן (מילואות),הצפון,עכו,מוקד תעסוקה,מטה אשר,אזור עכו,-,-,-,-,
1157,אחווה,הדרום,אשקלון,יישובים כפריים אחרים יהודיים,באר טוביה,אזור מלאכי,293,293,288,-,
821,אחוזם,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,לכיש,אזור לכיש,539,535,522,5,
1330,אחוזת ברק,הצפון,יזרעאל,יישובים יהודיים 4999-2000 תושבים,עמק יזרעאל,עמק יזרעאל,"2,208","2,208","2,140",-,
785,אחיהוד,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מטה אשר,אזור עכו,859,858,851,-,
850,אחיטוב,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מזרח השרון,"1,091","1,092","1,084",-,
804,אחיסמך,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור רמלה,"1,382","1,382","1,381",-,
797,אחיעזר,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,עמק לוד,אזור רמלה,"1,782","1,781","1,776",1,
338,איבים,הדרום,אשקלון,יישובים מוסדיים יהודיים,שער הנגב,אזור אשקלון,379,379,148,-,
716,אייל,המרכז,פתח תקווה,קיבוצים,דרום השרון,דרום השרון,506,506,500,-,
77,איילת השחר,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,"1,161","1,161","1,099",-,
294,אילון,הצפון,עכו,קיבוצים,מטה אשר,אזור אילון,980,974,948,6,
1716,אילון תבור*,הצפון,יזרעאל,מוקד תעסוקה,עמק יזרעאל,עמק יזרעאל,-,-,-,-,
1126,אילות,הדרום,באר שבע,קיבוצים,חבל אילות,הערבה,322,316,301,5,
49,אילנייה,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,הגליל התחתון,גליל תחתון מזרחי,487,481,467,6,
2600,אילת,הדרום,באר שבע,יישובים יהודיים 99999-50000 תושבים,עירייה,הערבה,"50,724","48,558","41,387","2,165",
1336,אירוס,המרכז,רחובות,יישובים קהילתיים,גן רווה,אזור ראשון לציון,478,478,472,-,
3762,איתמר,יהודה והשומרון,,יישובים קהילתיים,שומרון,,"1,199","1,198","1,197",1,
37,איתן,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,שפיר,אזור לכיש,449,449,447,-,
886,איתנים,ירושלים,ירושלים,יישובים מוסדיים יהודיים,מטה יהודה,הרי יהודה,72,67,63,6,
478,אכסאל,הצפון,יזרעאל,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,הרי נצרת-תירען,"14,245",10,4,"14,235",
1359,אל סייד,הדרום,באר שבע,יישובים לא יהודיים 4999-2000 תושבים,אל קסום,אזור באר שבע,"3,796",-,-,"3,796",
1339,אל -עזי,הדרום,אשקלון,יישובים כפריים אחרים לא יהודיים,יואב,אזור מלאכי,187,-,-,187,
1316,אל -עריאן,חיפה,חדרה,יישובים כפריים אחרים לא יהודיים,מנשה,הר אלכסנדר,188,-,-,188,
4003,אל -רום,הצפון,גולן,קיבוצים,גולן,גולן צפוני,381,381,366,-,
1145,אלומה,הדרום,אשקלון,יישובים כפריים אחרים יהודיים,שפיר,אזור מלאכי,503,503,503,-,
330,אלומות,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,381,379,374,1,
1182,אלון הגליל,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,עמק יזרעאל,הרי נצרת-תירען,"1,086","1,086","1,079",-,
3579,אלון מורה,יהודה והשומרון,,יישובים קהילתיים,שומרון,,"1,912","1,912","1,911",-,
3604,אלון שבות,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,גוש עציון,,"3,213","3,213","3,209",-,
429,אלוני אבא,הצפון,יזרעאל,מושבים שיתופיים,עמק יזרעאל,הרי נצרת-תירען,970,969,965,-,
4017,אלוני הבשן,הצפון,גולן,מושבים שיתופיים,גולן,גולן צפוני,439,439,438,-,
868,אלוני יצחק,חיפה,חדרה,יישובים מוסדיים יהודיים,מנשה,אזור חדרה,270,264,183,6,
285,אלונים,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,אזור יקנעם,482,482,473,-,
1365,אליאב,הדרום,אשקלון,יישובים קהילתיים,לכיש,אזור לכיש,361,361,361,-,
41,אליכין,המרכז,השרון,יישובים יהודיים 4999-2000 תושבים,מועצה מקומית,מערב השרון,"3,483","3,480","3,441",3,
4002,אלי-עד,הצפון,גולן,מושבים - לרבות כפרים שיתופיים,גולן,גולן דרומי,375,375,357,-,
1248,אליפז,הדרום,באר שבע,קיבוצים,חבל אילות,הערבה,150,143,122,7,
730,אליפלט,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מבואות החרמון,אזור חצור,623,623,617,-,
682,אליקים,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,מגידו,רמת מנשה,884,885,876,-,
204,אלישיב,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,734,734,731,-,
841,אלישמע,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,דרום השרון,"1,210","1,208","1,193",1,
1125,אלמגור,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,עמק הירדן,כנרות,383,383,371,-,
3556,אלמוג,יהודה והשומרון,,קיבוצים,מגילות ים המלח,,250,250,243,1,
1309,אלעד,המרכז,פתח תקווה,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור פתח תקווה,"46,896","46,896","46,878",-,
3618,אלעזר,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,גוש עציון,,"2,571","2,570","2,565",-,
3750,אלפי מנשה,יהודה והשומרון,,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,,"7,801","7,802","7,553",-,
603,אלקוש,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור אילון,302,302,302,-,
3560,אלקנה,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מועצה מקומית,,"3,884","3,884","3,878",-,
772,אמונים,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,966,966,957,-,
1064,אמירים,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל עליון מזרחי,813,812,772,1,
1253,אמנון,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,מבואות החרמון,כנרות,313,313,301,-,
23,אמציה,הדרום,אשקלון,מושבים שיתופיים,לכיש,אזור לכיש,465,461,459,4,
4012,אניעם,הצפון,גולן,מושבים - לרבות כפרים שיתופיים,גולן,גולן תיכוני,536,536,516,-,
3754,אספר,יהודה והשומרון,,יישובים קהילתיים,גוש עציון,,729,729,729,-,
529,אעבלין,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור שפרעם,"12,990",19,3,"12,971",
4301,אפיק,הצפון,גולן,קיבוצים,גולן,גולן דרומי,295,294,261,-,
176,אפיקים,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,"1,493","1,491","1,423",1,
313,אפק,הצפון,עכו,קיבוצים,מטה אשר,אזור עכו,630,616,611,14,
3650,אפרת,יהודה והשומרון,,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,,"9,116","9,115","9,094",-,
701,ארבל,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,הגליל התחתון,גליל תחתון מזרחי,732,732,725,-,
3598,ארגמן,יהודה והשומרון,,מושבים - לרבות כפרים שיתופיים,ערבות הירדן,,128,128,126,-,
714,ארז,הדרום,אשקלון,קיבוצים,שער הנגב,אזור אשקלון,494,493,483,-,
3570,אריאל,יהודה והשומרון,,יישובים יהודיים 19999-10000 תושבים,עירייה,,"19,626","19,382","15,783",244,
1324,ארסוף,המרכז,השרון,יישובים כפריים אחרים יהודיים,חוף השרון,מערב השרון,178,178,159,-,
71,אשבול,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,מרחבים,אזור גרר,562,562,559,-,
1276,אשבל,הצפון,עכו,קיבוצים,משגב,אזור שפרעם,113,111,110,2,
70,אשדוד,הדרום,אשקלון,יישובים יהודיים 499999-200000 תושבים,עירייה,אזור אשדוד,"222,883","222,648","200,402",236,
199,אשדות יעקב (איחוד),הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,996,992,963,3,
188,אשדות יעקב (מאוחד),הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,475,472,442,3,
1188,אשחר,הצפון,עכו,יישובים קהילתיים,משגב,אזור שפרעם,886,885,876,1,
3722,אשכולות,יהודה והשומרון,,יישובים קהילתיים,הר חברון,,521,521,518,-,
2021,אשל הנשיא,הדרום,באר שבע,יישובים מוסדיים יהודיים,מרחבים,אזור בשור,349,350,329,-,
1152,אשלים,הדרום,באר שבע,יישובים קהילתיים,רמת נגב,הר הנגב הצפוני,525,523,496,1,
7100,אשקלון,הדרום,אשקלון,יישובים יהודיים 199999-100000 תושבים,עירייה,אזור אשקלון,"137,945","137,571","120,365",372,
1256,אשרת,הצפון,עכו,יישובים קהילתיים,מטה אשר,אזור נהרייה,551,551,540,-,
740,אשתאול,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,"1,267","1,267","1,247",-,
6000,באקה אל-גרביה,חיפה,חדרה,יישובים לא יהודיים 49999-20000 תושבים,עירייה,אזור חדרה,"29,035",27,14,"29,008",
21,באר אורה,הדרום,באר שבע,יישובים קהילתיים,חבל אילות,הערבה,871,847,781,25,
1376,באר גנים,הדרום,אשקלון,יישובים קהילתיים,חוף אשקלון,אזור אשקלון,"1,024","1,024","1,021",-,
155,באר טוביה,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,"1,177","1,177","1,162",-,
2530,באר יעקב,המרכז,רמלה,יישובים יהודיים 49999-20000 תושבים,מועצה מקומית,אזור רמלה,"22,851","22,757","22,039",93,
1278,באר מילכה,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,רמת נגב,הר הנגב הצפוני,182,182,182,-,
9000,באר שבע,הדרום,באר שבע,יישובים יהודיים 499999-200000 תושבים,עירייה,אזור באר שבע,"207,551","202,435","180,965","5,116",
450,בארות יצחק,המרכז,פתח תקווה,קיבוצים,חבל מודיעין,אזור פתח תקווה,412,412,409,-,
697,בארותיים,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מזרח השרון,"1,151","1,152","1,135",-,
399,בארי,הדרום,באר שבע,קיבוצים,אשכול,אזור בשור,"1,018","1,018",971,-,
559,בוסתן הגליל,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מטה אשר,אזור עכו,"1,257","1,256","1,213",1,
482,בועיינה-נוג'ידאת,הצפון,,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,הרי נצרת-תירען,"9,467",14,4,"9,453",
4001,בוקעאתא,הצפון,גולן,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,גולן צפוני,"6,485",-,-,"6,485",
698,בורגתה,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,"1,118","1,116","1,107",1,
2043,בחן,המרכז,השרון,קיבוצים,עמק חפר,מזרח השרון,"1,008","1,007",991,1,
762,בטחה,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,מרחבים,אזור בשור,775,775,772,-,
1725,"בי""ס אזורי מקיף (אשר)",הצפון,עכו,מוקד תעסוקה,מטה אשר,אזור נהרייה,-,-,-,-,
234,ביצרון,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,"1,227","1,227","1,220",-,
998,ביר אל-מכסור,הצפון,עכו,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,אזור שפרעם,"9,118",6,-,"9,112",
1348,ביר הדאג',הדרום,באר שבע,יישובים לא יהודיים 9999-5000 תושבים,נווה מדבר,אזור באר שבע,"5,265",18,15,"5,247",
368,בירייה,הצפון,צפת,יישובים כפריים אחרים יהודיים,מרום הגליל,גליל עליון מזרחי,825,825,824,-,
317,בית אורן,חיפה,חדרה,קיבוצים,חוף הכרמל,אזור זכרון יעקב,470,454,443,15,
3574,בית אל,יהודה והשומרון,,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,,"6,101","6,102","6,090",-,
562,בית אלעזרי,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,ברנר,אזור רחובות,"1,543","1,544","1,532",-,
95,בית אלפא,הצפון,יזרעאל,קיבוצים,הגלבוע,עמק חרוד,727,726,673,2,
3652,בית אריה,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מועצה מקומית,,"4,955","4,955","4,813",-,
1076,בית ברל,המרכז,פתח תקווה,יישובים מוסדיים יהודיים,דרום השרון,דרום השרון,192,165,156,28,
619,בית גוברין,הדרום,אשקלון,קיבוצים,יואב,אזור לכיש,434,434,429,-,
571,בית גמליאל,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,חבל יבנה,אזור רחובות,982,976,976,6,
480,בית ג'ן,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור יחיעם,"11,714",1,-,"11,713",
466,בית דגן,המרכז,רמלה,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,אזור רמלה,"7,143","7,134","7,026",8,
723,בית הגדי,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,שדות נגב,אזור גרר,793,793,793,-,
373,בית הלוי,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,813,812,811,-,
322,בית הלל,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מבואות החרמון,עמק חולה,799,798,786,1,
572,בית העמק,הצפון,עכו,קיבוצים,מטה אשר,אזור נהרייה,552,552,515,-,
3645,בית הערבה,יהודה והשומרון,,קיבוצים,מגילות ים המלח,,222,222,217,-,
242,בית השיטה,הצפון,יזרעאל,קיבוצים,הגלבוע,עמק חרוד,"1,251","1,251","1,205",1,
353,בית זיד,הצפון,יזרעאל,יישובים כפריים אחרים יהודיים,עמק יזרעאל,אזור יקנעם,82,82,80,-,
710,בית זית,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,הרי יהודה,"1,694","1,690","1,652",4,
143,בית זרע,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,577,578,555,-,
1712,בית חולים פוריה,הצפון,כנרת,מוקד תעסוקה,עמק הירדן,כנרות,-,-,-,-,
3575,בית חורון,יהודה והשומרון,,יישובים קהילתיים,מטה בנימין,,"1,274","1,273","1,272",-,
877,בית חירות,המרכז,השרון,מושבים שיתופיים,עמק חפר,מערב השרון,897,896,884,-,
2033,בית חלקיה,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,נחל שורק,אזור רחובות,"1,176","1,176","1,176",-,
159,בית חנן,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גן רווה,אזור ראשון לציון,575,574,571,1,
800,בית חנניה,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,חוף הכרמל,אזור חדרה,902,902,886,-,
1050,בית חשמונאי,המרכז,רמלה,יישובים יהודיים 4999-2000 תושבים,גזר,אזור רמלה,"2,195","2,195","2,183",-,
288,בית יהושע,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,חוף השרון,מערב השרון,"1,076","1,077","1,060",-,
265,בית יוסף,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,עמק המעיינות,עמק בית שאן,440,439,438,-,
200,בית ינאי,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,404,403,402,-,
326,בית יצחק-שער חפר,המרכז,השרון,מושבים 4999-2000 תושבים,עמק חפר,מערב השרון,"2,112","2,112","2,085",-,
430,בית לחם הגלילית,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,עמק יזרעאל,הרי נצרת-תירען,788,786,773,1,
751,בית מאיר,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,הרי יהודה,778,777,770,-,
784,בית נחמיה,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור רמלה,887,886,877,1,
16,בית ניר,הדרום,אשקלון,קיבוצים,יואב,אזור לכיש,590,590,577,-,
672,בית נקופה,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,הרי יהודה,690,690,672,-,
202,בית עובד,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גן רווה,אזור ראשון לציון,278,278,277,-,
301,בית עוזיאל,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,גזר,אזור רמלה,623,622,616,-,
756,בית עזרא,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,"1,125","1,124","1,102",1,
604,בית עריף,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור רמלה,"1,120","1,120","1,107",1,
212,בית צבי,חיפה,חדרה,יישובים מוסדיים יהודיים,חוף הכרמל,חוף הכרמל,273,273,272,-,
598,בית קמה,הדרום,באר שבע,קיבוצים,בני שמעון,אזור גרר,"1,445","1,444","1,418",1,
365,בית קשת,הצפון,כנרת,קיבוצים,הגליל התחתון,גליל תחתון מזרחי,648,647,632,-,
848,בית רבן,המרכז,רחובות,יישובים מוסדיים יהודיים,חבל יבנה,אזור רחובות,"1,222","1,222","1,188",-,
1162,בית רימון,הצפון,יזרעאל,קיבוצים,הגליל התחתון,הרי נצרת-תירען,684,684,684,-,
9200,בית שאן,הצפון,יזרעאל,יישובים יהודיים 19999-10000 תושבים,עירייה,עמק בית שאן,"17,704","17,565","17,250",140,
2610,בית שמש,ירושלים,ירושלים,יישובים יהודיים 199999-100000 תושבים,עירייה,שפלת יהודה,"114,371","114,246","112,230",124,
248,בית שערים,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,עמק יזרעאל,אזור יקנעם,749,749,744,-,
747,בית שקמה,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,חוף אשקלון,אזור אשקלון,876,875,856,-,
252,ביתן אהרן,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,376,376,372,-,
3780,ביתר עילית,יהודה והשומרון,,יישובים יהודיים 99999-50000 תושבים,עירייה,,"54,557","54,555","54,543",2,
94,בלפוריה,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,עמק יזרעאל,עמק יזרעאל,491,490,486,-,
760,בן זכאי,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,חבל יבנה,אזור רחובות,"1,078","1,078","1,070",-,
712,בן עמי,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מטה אשר,אזור נהרייה,776,774,750,2,
1084,בן שמן (כפר נוער),המרכז,רמלה,יישובים מוסדיים יהודיים,חבל מודיעין,אזור רמלה,630,626,602,4,
2013,בן שמן (מושב),המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור רמלה,862,862,850,-,
6100,בני ברק,תל אביב,,יישובים יהודיים 199999-100000 תושבים,עירייה,אזור רמת גן,"193,774","193,727","192,336",47,
1368,בני דקלים,הדרום,אשקלון,יישובים קהילתיים,לכיש,אזור לכיש,884,883,882,-,
592,בני דרום,המרכז,רחובות,מושבים שיתופיים,חבל יבנה,אזור רחובות,780,779,779,1,
386,בני דרור,המרכז,השרון,מושבים שיתופיים,לב השרון,מערב השרון,"1,224","1,224","1,216",-,
4015,בני יהודה,הצפון,גולן,יישובים קהילתיים,גולן,גולן דרומי,"1,049","1,048",949,-,
1363,בני נצרים,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,אשכול,אזור בשור,671,671,671,-,
448,בני עטרות,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור פתח תקווה,972,973,969,-,
1066,"בני עי""ש",המרכז,רחובות,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,אזור רחובות,"6,998","6,952","5,630",46,
418,בני ציון,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,חוף השרון,מערב השרון,"1,401","1,399","1,376",1,
588,בני ראם,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,נחל שורק,אזור רחובות,"1,356","1,341","1,338",14,
685,בניה,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,ברנר,אזור רחובות,805,805,804,-,
9800,בנימינה-גבעת עדה*,חיפה,חדרה,יישובים יהודיים 19999-10000 תושבים,מועצה מקומית,אזור חדרה,"15,634","15,601","15,076",33,
1326,"בסמ""ה",חיפה,חדרה,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,הר אלכסנדר,"9,536",3,-,"9,533",
944,בסמת טבעון,הצפון,יזרעאל,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,הרי נצרת-תירען,"7,735",17,12,"7,717",
483,בענה,הצפון,עכו,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,אזור כרמיאל,"8,110",14,4,"8,096",
389,בצרה,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,חוף השרון,מערב השרון,"1,188","1,188","1,160",-,
589,בצת,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מטה אשר,אזור נהרייה,263,256,254,8,
